created_at,full_text,sntiment,location,id
2020-03-14 19:09:47+00:00,كمالة الاغنيه♥️ #COVIDー19  #انثبروا_ببيوتكم  #كورونا  #كلنا_في_البيت_لاجل_السعوديه  #كوفيد_19  #عشان_الكويت_خلوكم_في_البيت  #كورونا_السعوديه https://t.co/51MCq80QDi,S,Riyadh,1.23891E+18
2020-04-04 18:15:37+00:00,"#خليك_في_البيت 
#نبيها_صفر 
#وزارة_الصحة 
#StayHome 
#الكويت_تحارب_كورونا 
#الكويت_تستاهل https://t.co/j2w446Hrgr",C,Salmiya - Kuwait,1246501693010960400
2020-03-29 03:23:32+00:00,"#اعزل_نفسك
بووووووووووم 🤣🤣🤣🤣 https://t.co/6pYYmCF5Le",S,,1244102868552102000
2020-03-28 23:02:34+00:00,#الوقايه_من_كورونا تبدأ منك وإليك لذا احرص على اتباع تعليمات #وزراة_الصحة_السعودية و #اعزل_نفسك وان شاء الله #احنا_بخير_مع_السعودية و #شكرا_للقطاع_العسكري_والصحي #شكرا_الدفاع_الجوي #صوت_تفجير #صوت_الانفجار #قوة_الصوت #الصوت_القوي #بلاد_الحرمين_الشريفين #نعمه_الامن #29 مارس,P,الرياض-المملكة-Riyadh- KSA,1244037194274275300
2020-03-14 19:32:46+00:00,#اجلس_بالبيت وعن الغشامة الزايده https://t.co/trz4QqwVHM,C,"مسقط, سلطنة عمان",1238910963878854700
2020-03-29 01:32:11+00:00,#اعزل_نفسك من أجل الوطن https://t.co/j22McYnNb8,P,المملكة العربية السعودية,1244074843609485300
2020-03-14 23:09:41+00:00,"صورة معبرة فعلاً 💔❤️
الكل خايف على نفسه هذي الفترة وعلى أهله ومتوتر لكن ناسي من جالس يكافح ويعالج بوسط هذا الوباء حفاظاً على شعب وعلى دولة 
يارب تحفظهم من كل شر وتكتب اجرهم ❤️
#كلنا_في_البيت_لاجل_السعوديه 
#ابطال_الصحة 
#وعد_المصافحه https://t.co/Caa7sXRSGy",P,Riyadh ♡,1238965553341051000
2020-03-29 02:32:52+00:00,"#اعزل_نفسك

الحمدالله عازلين انفسنا فداء للوطن 🇸🇦🇸🇦",P,"الرياض, المملكة العربية السعود",1244090115816915000
2020-03-15 00:06:07+00:00,"#فيروس_كورونا_المستجدّ
#وزارة_الصحة #كلنا_في_البيت_لاجل_السعوديه 
#انثبروا_ببيوتكم https://t.co/WTQgFEsT9H",S,يارب اسألك رضاك والجنه,1238979756638580700
2020-03-14 17:49:38+00:00,الحمدلله يارب تحفظنا وتحفظ السعوديه وتكفينا شر الفساد والمفسدين والوباء  #كلنا_في_البيت_لاجل_السعوديه,P,,1238885012004626400
2020-03-25 20:08:22+00:00,"أنت مدين لنفسك بإيصالها إلى حيث تستطيع أن تصل ، أنت مدين لنفسك بأن تُصبح عظيماً !🌼💛
#نستطيع_اذا_اردنا 
#افوز_بصحتي 
#محفزون #همه_للعيد 
#الحجر_المنزلي #كلنا_بالبيت_لاجل_السعوديه 
#بتمرن_بالبيت
#انحف_بالبيت #بيتي_ممشى https://t.co/56Nustjt0J",S,,1242906191023476700
2020-03-29 15:57:06+00:00,"#اعزل_نفسك
#استقطاع_رواتب_القطاع_الخاص
رايح للحجر الصحي 
عطب الجيران كلهم 😥 https://t.co/m5DJEu6tLl",N,"الرياض, المملكة العربية السعود",1244292509276266500
2020-03-15 04:52:02+00:00,"فلنكن كالبنيان المرصوص ❤️
#القطيف. #انثبروا_ببيوتكم 
#كورونا. https://t.co/2uZ9tIyy4B",P,المملكة العربية السعودية,1239051710133424000
2020-03-28 23:45:16+00:00,#اعزل_نفسك أسأل الله العظيم رب العرش العظيم بأسمائه الحسنى وبصفاته العلا وباسمه الأعظم الكريم الذي إذا سؤل به أعطى وإذا دعي به أجاب أن يكشف وأن يرفع عنا هذا الوباء وهذا البلاء عن بلادنا وجميع بلاد المسلمين وعن العالم  وأن يكفينا شره بعزته وقدرته وجلاله وعظمته إنه على كل شيء قدير,T,,1.24405E+18
2020-03-29 21:11:25+00:00,الاقتصاد مرتبط بالانظباط باللوائح والارشادات #آعٌزٍلَ_نِفُسِکْ #منع_التجول #بورصة_الكويت #امسك_سهمك,S,,1244371608535515100
2020-04-06 10:32:59+00:00,"ودك تشتغل كابتن توصيل 
ودك تستفيد من أوقات فراغك
تواصل معنا عبر الواتس 
مناديب توصيل طلبات_عمل_وظائف_الرياض_جده_مكه_تبوك_القصيم_حفرالباطن_الشرقيه_ينبع_جيزان_الجبيل_الخبر_مطاعم_كافيهات_محلات_متاجر 
https://t.co/aSo1zuL2Vv
#منع_التجول",S,"مكة المكرمة, المملكة العربية ا",1247110046582014000
2020-03-14 22:10:43+00:00,#الاحوال_المدنيه_كرونا #تعليق_عمل_البنوك #انثبروا_ببيوتكم #كلنا_في_البيت_لاجل_السعوديه #لاتواجه_كورونا_علاجه_مجهول #ساعات_العمل #وينك_فيه_الان_اثبت #الحجر_المنزلي #السعودية #وعد_المصافحه #فعاليات_الحجر_المنزلي #كوفيد_19 #COVIDー19 #كورونا #الوتر 🍃🌸🌱🍃🌸🌱🍃🌸🌱🍃🌸🌱 https://t.co/GWwNWmj8BR,S,Kingdom of Saudi Arabia,1238950714740822000
2020-03-14 18:02:54+00:00,#كلنا_في_البيت_لاجل_السعوديه https://t.co/4V3Fca8eJo,P,"Riyadh, Kingdom of Saudi Arabia",1238888349362016300
2020-03-14 16:11:42+00:00,#انثبروا_ببيوتكم https://t.co/iafTjrtKTQ,C,دولة الكويت,1238860365435461600
2020-04-05 19:38:42+00:00,"احرص على أن تتضمن فاتورة الشراء من المتاجر الإلكترونية على التالي
لتحمي #حقك ✅

#تعرف
#التجارة_الإلكترونية
#المتاجر_الإلكترونية
#منع_التجول
#الوقاية_من_كورونا https://t.co/kkqRdsBRmX",W,السعودية / الرياض,1246884990174011400
2020-03-29 11:24:04+00:00,"#اعزل_نفسك
فجأه صارت الناس تحب تطلع وماشاء الله وبالايام العاديه مالكم خلق https://t.co/0lahu3T4hR",N,العالم الموازي,1244223796426539000
2020-03-14 18:38:20+00:00,"اخيرا شقت هاشتاق يبرد القلب انثبروا في بيوتكم
 #كلنا_في_البيت_لاجل_السعوديه",N,,1238897264426455000
2020-03-25 11:08:01+00:00,"https://t.co/x7B7uE4Haq

#منع_التجول",C,"الأسكندرية, مصر",1242770206566617000
2020-04-07 19:43:43+00:00,#الأوقاف #الكويت #حظر_التجول_الجزئي #كورونا #الكويت_تتصدى_لكورونا #خليك_بالبيت #اقعد_بالبيت #التباعد_الاجتماعي #التقصي_الوبايي #فزعه_الكويت #نبي_حظر #لجل_السعوديه_نبيها_صفر #اعزل_نفسك #خليك_ببيتك_وانشد_لوطنك https://t.co/RHYC3dcYfy,C,الكويت,1247611029196099600
2020-03-14 19:56:23+00:00,"نصيحة محب للجميع ، لعلها خيره ، تفرق الاخوه ابتعاد الإرحام ، تجمع الاهل والاقارب والجيران بين بعضهم ، من الجلوس بالبيوت ، هي ارحم من ان تخرج الناس في المتنزهات والتجمعات وغيرها ، حافظوا على سلامتكم بتجمعكم بالبيت بينكم ولتكن فرصه لمن مقصر مع ارحامه
حفظكم الله ورعاكم
 #اجلس_بالبيت",C,"مسقط, سلطنة عمان",1238916906658209800
2020-04-11 17:49:53+00:00,"بسم ابدأ

#فزعة_للكويت

لأن #الكويت_تستاهل

رابط المساهمة:

https://t.co/jui2tdYXk1

#نبيها_صفر
#خلك_بالبيت
#الكويت_بخير
#عطاء
#خير_يمتد_أثره https://t.co/0LbKtXtBFN",C,kuwait,1249031934841421800
2020-03-14 19:22:55+00:00,"الوضع صعب وجدي وحقيقي، جهود كبيرة جالسة تبذلها وزارة الصحة لمكافحة هالفيروس الجديد وجهود الوزارة ما راح تنجح بدون تعاون الجميع
 #كلنا_في_البيت_لاجل_السعوديه",P,Kingdom of Saudi Arabia,1238908486290935800
2020-03-14 20:42:27+00:00,"قد لا تدركون معنى كلامي جيدا 
ولكن العمل في هكذا ظروف مريح للنفس،،
فأنت تمارس حياتك بالشكل الذي تحبه والذي اعتدت عليه
ليس سهلا أن تلزم نفسك ومن حولك بتعليمات أو ان تبقى في المنزل أو في مكان تحسب فيه عدد خطواتك ( حتى لو كان الأمر فيه مصلحة لك ) 

#كورونا 
 #اجلس_بالبيت
#نورسيات",P,,1238928501656424400
2020-03-15 02:57:57+00:00,""" يا راحلينَ قد اشتقنا لرؤيتكم
وما لنا حيلةٌ في الوصلِ والنّظرِ

عزاؤنا أنكم من بعدِ غيبتِكُم ..
في ذِمّةِ اللهِ لا في ذمّةِ البشرِ🌿""
.
.
#كورونا_مصر 
#اجلس_بالبيت 
#انثبروا_ببيوتكم 
#ليش_داخل_التويتر",S,,1239022997018677200
2020-03-29 08:46:44+00:00,"نعمل على مدار الساعة ⏱

920033084
و آلاف الفزاعين بخدمتكم✋🏻
📍 نصلح سيارتك بمكانك
🚗 مزاد تشتري فيه وتبيع
📲 أطلب اللي تبي ونوصلّك

حمل تطبيق ازهلها 💚👍👍

أكثر من 20 خدمة متوفرة 🚖🚘🚒👍

#احبك_نوره
#محمد_بن_سلمان
#اعزل_نفسك https://t.co/FU6kbzDLg7",W,المملكة العربية السعودية,1244184204558192600
2020-03-23 15:03:06+00:00,"#منع_التجول
#حضر_التجوال https://t.co/GIj2op6yEv",S,,1242104590499225600
2020-03-18 18:28:57+00:00,#بتمرن_بالبيت #تمرن_بالبيت #CoronaVirusChallenge #يارب_ارفع_عنا_البلاء #خلك_بالبيت #الدمام #الخبر #السعودية_العظمى https://t.co/6whob5zxzX,S,"Eastern, Kingdom of Saudi Arabia",1240344458270572500
2020-04-07 13:18:01+00:00,حرفيا لو بس تعاوننا وكل واحد لَزم بيته واتبع التعليمات كلها بنكون بخير وراح ننتهي من أزمة كورونا والله خير الحافظين وما كتب لنا من مصيبة الا والخير جاي من فضله❤️ #خليك_بالبيت #الحجر_المنزلي #اعزل_نفسك #فيروس_كورونا,P,,1247513964633673700
2020-03-14 17:37:02+00:00,#كلنا_في_البيت_لاجل_السعوديه كلنا في البيت قاعدين يامسلم,C,"JED , TOKY",1238881841442181000
2020-04-03 12:12:20+00:00,"#منع_التجول
#شراء_اثاث_مستعمل_بالرياض
#شراء_الاثاث_المستعمل_بالرياض
#شراء_عفش_بالرياض
#شراء_الاثاث_بالرياض 0558255164 https://t.co/9kA6R4mGSP",S,,1246047882467324000
2020-03-28 16:41:10+00:00,"#نجران_الان
#منع_التنقل_بين_المناطق
#منع_التجول
لسلامتكم  ..
فإن قرارات منع التجول ومنع التنقل بين مناطق المملكة لا تشمل مركبات نقل المواد التموينية والغذائية والخضروات والفواكه، ولاتحتاج الى اذن للتنقل أو دخول المدن المشموله بالمنع، ونهيب بجميع التجار و الملاك في هذه القطاعات",W,المملكة العربية السعودية,1243941208692535300
2020-03-14 19:47:19+00:00,"ابي اللي كان قبل مأذينا
ضيقة خلق ملل وين نروح
الديرة تضيق الخلق

عساك مرتاح الحين ؟؟ 👊🏽👊🏽

#كورونا 
#انثبروا_ببيوتكم 
#عشان_الكويت_خلوكم_في_البيت",N,,1238914625711767600
2020-03-14 18:20:14+00:00,"#انثبروا_ببيوتكم
استغفروا الله وتوبوا إليه يا ناس (وكثروا من الاستغفار)..وخذوا الأمر على محمل الجد لا تهونون..لأن الأمر خطيير وهذه علامة غضب ..القرآن فيه وعيد وتهديد مكرر مرعب جدا لأي أرض فيها فساد..أنا قاعد أنصح #الكويت #كورونا",C,الكويت,1238892709588467700
2020-03-14 17:22:26+00:00,#انثبروا_ببيوتكم,S,"Sir Matt Busby Way , OT",1238878164014764000
2020-03-29 21:42:08+00:00,"اللي يبي يتعلم فن قيادة السياره يأخذ دوره عنده مدة 10 دقايق 
#COVID2019 #تقديم_منع_التجول_بجدة #اغلاق_النوادي_الرياضية #ابو_نوره #حائل_الآن #اسكندرية #جدة #الحلقه_الاخيره #الرياض #اتصور_وانت_بالكمامه #عاجل #كرونا #استقطاع_رواتب_القطاع_الخاص https://t.co/2fm2sg5Znz",S,,1244379340202270700
2020-03-23 15:10:42+00:00,#منع_التجول https://t.co/9Tt30ZRxQH,S,,1242106504410513400
2020-03-23 05:05:31+00:00,"@dhaa_basmatk22 
السمع والطاعة سيدي خادم الحرمين الشريفين 
كلنا تحت امركم حفظكم الله و حفظ بلادنا من كل شر💚🇸🇦 # السعودية_ العظمى
الحين متباعدين و قريب 
إن شاء الله مجتمعين 👥
#نبيها_صفر #خليك_في_البيت #تحالف_الفرق_التطوعية_بالشرقية
#منع_التجوال https://t.co/ixT1QB4YVi",P,"Ashrqya,Dharran",1241954206917054500
2020-03-14 19:24:19+00:00,#اجلس_بالبيت https://t.co/qadRshMqmz,C,سلطنة السلام عمان,1238908840118300700
2020-03-14 18:14:47+00:00,#اجلس_بالبيت فعمان امانة بين يديك,C,"مسقط, سلطنة عمان",1238891338277564400
2020-04-08 13:41:51+00:00,"بعض البشر كالأشجار الإصطناعية مهما أسقيته لا يمكن أن يُثمر !!🏌️‍♂️😔😔
#اعزل_نفسك",T,,1247882349062156300
2020-03-28 22:29:43+00:00,Mood #اعزل_نفسك https://t.co/WjaY2cryU6,S,ولنا في الخيال حياه.,1244028927032594400
2020-04-03 10:09:47+00:00,"شركه #بيت_العرب غسيل وتعقيم ال ( كنب، سجاد، موكيت، مراكي ) غسيل شقق، فلل، خزانات، مكافحه حشرات) 👌🌹
الأقوى في عالم التنظيف والتعقيم🌷 
حفاظاََ ع سلامتكم قبل سلامتنا  ❤️
أسعار جداََ مناسبه 😉👌
للتواصل ☎️ 0542294861
#السناب #كورونا #يوم_الجمعة #منع_التجول #السعودية #الرياض_الان https://t.co/2oZfSkube7",S,"الرياض, المملكة العربية السعود",1246017042437812200
2020-03-14 12:02:27+00:00,"كن خير مثال لمن يقعون تحت مسؤوليتك
وإنصحهم بإتباع الإرشادات وتجنب الاشاعات
.
#خلك_واعي #الكويت #خلك_بالبيت 
#مكافحة_الاشاعات #الاشاعة #الداخلية 
#الجرائم_الالكترونية #الحجر_المنزلي https://t.co/nMfubugSV6",C,الأسواق & التعاونيات,1238797639283597300
2020-03-28 21:17:44+00:00,احد القرارات المهمة التي كنُا نطالب فيها ولله الحمد يتحقق وذلك بمنع حضور وتغطية حسابات السناب الشخصية في تصوير الجهود الأمنية في #منع_التجول والنقاط الأمنية ، واقتصار ذلك على وسائل الإعلام الرسمية فقط ، ومنصة السناب التابعة لـ #وزارة_الداخلية والجهات التابعة لها.,P,USA - KSA,1244010811774898200
2020-03-14 19:29:35+00:00,"#كوفيد_19 سينكسر الفايروس وسيزول بإذن الله
 ويأتي رمضان ونحن بأتم الصحة والعافيه وسلامة ، قولوا آمين 💛🌿 #انثبروا_ببيوتكم #تعليق_الدراسة #العام_الدراسي https://t.co/nJKrBhN426",P,,1238910164184563700
2020-04-03 10:09:46+00:00,"اللهمّ إن مساجدنا أظلمت وشهر رحماتك الفضيل قد دنا فلا تحرمنا سماع تراتيلِ التراويح ولا بكاء الإمام في تهجدهِ ولا رؤية المُصلين يصطفون كالبنيان المرصوصِ في تبتلهم ،ولا تحرمنا من عمرةٍ تعدل حجةً مع نبيك ، اللهم اصرف عنا الوباء يا ارحم الراحمين..💭🎶

#جمعة_مباركة #منع_التجول https://t.co/3DZ9TRIUfJ",T,,1246017038004478000
2020-03-14 17:55:43+00:00,نعم قلباً و قالباً #كلنا_في_البيت_لاجل_السعوديه,P,مدينة الضباب | النماص,1238886541134639000
2020-04-02 10:30:26+00:00,"#البيرق_البيرق_مطيري
#اعزل_نفسك
#مساء_الخير
👑👑👑👑👑👑👑

يسدل  ستاير غرفة النوم  و ينوم 
ويسدل رموشه في محاجر عيونه

ويطوف مع جوه سواليف وحلوم
و يبتسم  من  حلم  يعانق  متونه 

وانا معه في كل لحظاته ..  ودوم 
نشبه  ..  ولكن  نشبتي  له حنونه

👑سلطان👑

مساء الخير 💛💛",S,,1245659850685608000
2020-04-03 13:46:55+00:00,"ملخص موجز اليوم الله أرحمنا برحمتك واللطف بنا ياكريم
#اعزل_نفسك https://t.co/3TVUEco66d",T,,1246071685721124900
2020-03-14 17:29:55+00:00,أقل شيء نقدر نقدمه للسعودية تعبيرًا عن الشكر للجهد المبذول بإننا نضحي بالطلعات التي ليس لها أهمية، نبتعد عن أماكن التجمعات، نجلس في بيوتنا، وكلها فتره وتنتهي ان شاء الله وهذا كله لصحتنا وصحة من حولنا💙.  #كلنا_في_البيت_لاجل_السعوديه,P,مكة المكرمة,1238880047395745800
2020-03-14 22:25:49+00:00,"وضع الكويتين بعد شهر🤣🇰🇼
#المجمعات_التجارية 
#انثبروا_ببيوتكم 
#الحجر_المنزلي 
#مجلس_الوزراء 
#مطار_الكويت_الدولى 
#الكويتيون_يد_واحدة_ضد_كورونا 
#كورونا
 #اغلاق_الصالونات https://t.co/LStrdxeI4Y",C,دولة الكويت,1238954514490830800
2020-03-14 13:54:00+00:00,#انثبروا_ببيوتكم بفايروس ولا بدون فايروس منثبرين مافي جديد 😂😂,N,"جدة, المملكة العربية السعودية",1238825709579178000
2020-03-14 20:44:01+00:00,"رجاءا تادبوا معنا لا احد يقول انثبر خليك لبناني وقول #خليك_بالبيت 

.

#شكرا_حكومتنا
#كورونا 
#انثبروا_ببيوتكم 
#ايقاف_الدوري",T,,1238928895522586600
2020-04-03 05:13:45+00:00,"وزارة الداخلية : تقديم وقت بدء ⁧#منع_التجول⁩ في مدينة الدمام ومحافظتي الطائف و القطيف إلى الساعة الثالثة عصراً اعتباراً من اليوم الجمعة. - https://t.co/ZfZ6Bh66cw
#صحيفة_الرأي_الإلكترونية https://t.co/9f3osuapaN",W,🇸🇦#السعودية_العظمى🇸🇦,1245942543071748000
2020-03-14 19:31:41+00:00,"#كلنا_في_البيت_لاجل_السعوديه
#قاعد_بالبيت 👍🏻😄 https://t.co/9kZY65xnAB",S,جده,1238910691043676200
2020-03-29 02:38:47+00:00,#اعزل_نفسك https://t.co/jykHWuqbQI,S,,1244091604320870400
